row	json_tc_id	json_req_id	F_0907	D_0907	n_diff_vs_json	diff_cols_vs_json	diff_noncorpus_cols_vs_rowsort
344	NR1L-ComfortHMI-089	SWE1-HVAC-106-08	NR1L-ComfortHMI-334	SWE1-HVAC-106-08	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
345	NR1L-ComfortHMI-090	SWE1-HVAC-106-09	NR1L-ComfortHMI-335	SWE1-HVAC-106-09	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
346	NR1L-ComfortHMI-203	SWE1-HVAC-107-01	NR1L-ComfortHMI-336	SWE1-HVAC-107-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
347	NR1L-ComfortHMI-204	SWE1-HVAC-107-02	NR1L-ComfortHMI-337	SWE1-HVAC-107-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
348	NR1L-ComfortHMI-205	SWE1-HVAC-107-03	NR1L-ComfortHMI-338	SWE1-HVAC-107-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
349	NR1L-ComfortHMI-206	SWE1-HVAC-107-04	NR1L-ComfortHMI-339	SWE1-HVAC-107-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
350	NR1L-ComfortHMI-207	SWE1-HVAC-107-05	NR1L-ComfortHMI-340	SWE1-HVAC-107-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
351	NR1L-ComfortHMI-208	SWE1-HVAC-107-06	NR1L-ComfortHMI-341	SWE1-HVAC-107-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
352	NR1L-ComfortHMI-411	SWE1-HVAC-107-06	NR1L-ComfortHMI-342	SWE1-HVAC-107-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
353	NR1L-ComfortHMI-209	SWE1-HVAC-107-07	NR1L-ComfortHMI-343	SWE1-HVAC-107-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
354	NR1L-ComfortHMI-412	SWE1-HVAC-107-07	NR1L-ComfortHMI-344	SWE1-HVAC-107-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
355	NR1L-ComfortHMI-210	SWE1-HVAC-107-08	NR1L-ComfortHMI-345	SWE1-HVAC-107-08	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
356	NR1L-ComfortHMI-211	SWE1-HVAC-107-09	NR1L-ComfortHMI-346	SWE1-HVAC-107-09	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
357	NR1L-ComfortHMI-212	SWE1-HVAC-108	NR1L-ComfortHMI-347	SWE1-HVAC-108	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
358	NR1L-ComfortHMI-213	SWE1-HVAC-109-01	NR1L-ComfortHMI-348	SWE1-HVAC-109-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
359	NR1L-ComfortHMI-214	SWE1-HVAC-109-02	NR1L-ComfortHMI-349	SWE1-HVAC-109-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
360	NR1L-ComfortHMI-098	SWE1-HVAC-110-01	NR1L-ComfortHMI-350	SWE1-HVAC-110-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
361	NR1L-ComfortHMI-413	SWE1-HVAC-110-01	NR1L-ComfortHMI-351	SWE1-HVAC-110-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
362	NR1L-ComfortHMI-099	SWE1-HVAC-110-02	NR1L-ComfortHMI-352	SWE1-HVAC-110-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
363	NR1L-ComfortHMI-100	SWE1-HVAC-110-03	NR1L-ComfortHMI-353	SWE1-HVAC-110-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
364	NR1L-ComfortHMI-101	SWE1-HVAC-110-04	NR1L-ComfortHMI-354	SWE1-HVAC-110-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
365	NR1L-ComfortHMI-102	SWE1-HVAC-110-05	NR1L-ComfortHMI-355	SWE1-HVAC-110-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
