tc_id	req_id	outline	score	sent_idx	clause_verbatim
NR1L-ComfortHMI-041	SWE1-HVAC-027	6.3	1.00	0	CM1.) When a vehicle is configured with a non-foldable secondary lower screen that contains comfort information, the comfort section will be removed from the head unit except for comfort popups.
NR1L-ComfortHMI-266	SWE1-HVAC-028-01	7.1	1.00	0	CR1.) Hard controls do not switch to controlling the rear climate when on the rear climate screen.
NR1L-ComfortHMI-267	SWE1-HVAC-028-02	7.1	1.00	1	For example, fan knob will always control the fan speed and driver/passenger temperature controls will always control the front driver/pass temperature.
NR1L-ComfortHMI-268	SWE1-HVAC-028-03	7.1	1.00	1	For example, fan knob will always control the fan speed and driver/passenger temperature controls will always control the front driver/pass temperature.
NR1L-ComfortHMI-269	SWE1-HVAC-029-01	7.1.1	1.00	1	To that point, the driver must be on the rear climate screen to see the changes that the rear passenger commanded.
NR1L-ComfortHMI-270	SWE1-HVAC-029-02	7.1.1	1.00	1	To that point, the driver must be on the rear climate screen to see the changes that the rear passenger commanded.
NR1L-ComfortHMI-271	SWE1-HVAC-029-03	7.1.1	1.00	2	Further, if on rear climate screen and user uses front controls, provide fan and temperature popup (showing update to front climate).
NR1L-ComfortHMI-272	SWE1-HVAC-030-01	7.2	1.00	5	The fan speed will be transmitted as 15h instead of the actual fan speed.
NR1L-ComfortHMI-273	SWE1-HVAC-030-02	7.2	1.00	2	AUTO affects Fan speed and Modes in order to reach desired temperature as quickly as possible.
NR1L-ComfortHMI-274	SWE1-HVAC-030-03	7.2	1.00	3	Auto is mutually exclusive with the three airflow modes.
NR1L-ComfortHMI-275	SWE1-HVAC-030-04	7.2	1.00	6	Switching to another airflow mode would break Auto; go from auto mode to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode.
NR1L-ComfortHMI-276	SWE1-HVAC-030-05	7.2	1.00	8	Any other climate controls do NOT break Auto either.
NR1L-ComfortHMI-277	SWE1-HVAC-031-01	7.3	1.00	1	Rear lock will lockout the rear climate controls.
NR1L-ComfortHMI-400	SWE1-HVAC-031-01	7.3	1.00	1	Rear lock will lockout the rear climate controls.
NR1L-ComfortHMI-278	SWE1-HVAC-031-02	7.3	1.00	2	The text for LOCK REAR will change to UNLOCK REAR text and Lock graphic when Rear Climate is locked to indicate the state of being locked or unlocked (While unlocked = Lock Rear text with unlocked Lock icon, While locked = Unlock Rear text with the Lock icon).
NR1L-ComfortHMI-279	SWE1-HVAC-031-03	7.3	1.00	2	The text for LOCK REAR will change to UNLOCK REAR text and Lock graphic when Rear Climate is locked to indicate the state of being locked or unlocked (While unlocked = Lock Rear text with unlocked Lock icon, While locked = Unlock Rear text with the Lock icon).
NR1L-ComfortHMI-280	SWE1-HVAC-032-01	7.4	1.00	2	Temperature will display the current degree (or half degree increments for Celsius) the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value.
NR1L-ComfortHMI-401	SWE1-HVAC-032-01	7.4	1.00	2	Temperature will display the current degree (or half degree increments for Celsius) the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value.
NR1L-ComfortHMI-402	SWE1-HVAC-032-01	7.4	1.00	2	Temperature will display the current degree (or half degree increments for Celsius) the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value.
NR1L-ComfortHMI-281	SWE1-HVAC-032-02	7.4	1.00	3	Change temperature on climate screen by using arrows (move 1 increment up/down per press, long press = fast move ((hold longer that 500 ms)) or slider (TEMP pop-up next to slider when touching it so that finger does not cover number).
NR1L-ComfortHMI-282	SWE1-HVAC-032-03	7.4	1.00	7	When the user sets the climate system temperature ranges to Metric the CCM switches to half degree increments.
NR1L-ComfortHMI-283	SWE1-HVAC-032-04	7.4	1.00	6	If SYNC is ON, adjusting driver temperature affects passenger temperatures, adjusting passenger temperatures would break SYNC and turn it off.
NR1L-ComfortHMI-403	SWE1-HVAC-032-04	7.4	1.00	6	If SYNC is ON, adjusting driver temperature affects passenger temperatures, adjusting passenger temperatures would break SYNC and turn it off.
NR1L-ComfortHMI-284	SWE1-HVAC-033-01	7.5	1.00	0	CR5.) Fan ranges: Off, 1-7, 15h (denoting to show AUTO instead).
NR1L-ComfortHMI-404	SWE1-HVAC-033-01	7.5	1.00	0	CR5.) Fan ranges: Off, 1-7, 15h (denoting to show AUTO instead).
NR1L-ComfortHMI-285	SWE1-HVAC-033-02	7.5	1.00	1	The status is indicated on TS rear climate screen.
NR1L-ComfortHMI-286	SWE1-HVAC-033-03	7.5	1.00	4	There would always be one bar highlighted.
NR1L-ComfortHMI-287	SWE1-HVAC-033-04	7.5	1.00	5	The only way to have all FAN bars grayed out is by shutting the CLIMATE system OFF (using climate power button on the screen).
