leaf_id	layer2	layer3	writable	delegate	generatable	stable_core	blocked_layer	blocked_ref	blocker
SWE1-VC-RightFrontHeatedSeat-033	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-034	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-035	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-036	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-020	Vented Seat	RightFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontVentedSeat-021	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-022	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-023	Vented Seat	RightFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontVentedSeat-024	Vented Seat	RightFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontVentedSeat-025	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-026	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-027	Vented Seat	RightFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontVentedSeat-028	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-029	Vented Seat	RightFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontVentedSeat-030	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-031	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-032	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-033	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontVentedSeat-034	Vented Seat	RightFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-ScreenOFF-047	Common Features	ScreenOFF	yes	no	yes	yes			
